City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
2163355,Hobart,AU,-42.8794,147.3294,57.09,84,75,4.61
3418910,Upernavik,GL,72.7868,-56.1549,-0.27,87,41,6.02
3833367,Ushuaia,AR,-54.8,-68.3,35.82,90,89,1.99
3691582,Talara,PE,-4.5772,-81.2719,70.27,80,95,13.49
2075265,Busselton,AU,-33.65,115.3333,73.71,48,100,16.51
765749,Łuków,PL,51.929,22.3796,44.92,97,90,1.28
1791748,Wanxian,CN,30.8039,108.3897,72.79,84,100,2.51
3662489,Santa Isabel Rio Negro,BR,-0.4139,-65.0192,73.51,99,88,1.54
935215,Saint-Philippe,RE,-21.3585,55.7679,77.43,75,76,14.09
3874787,Punta Arenas,CL,-53.15,-70.9167,42.91,81,100,9.22
1106677,Bambous Virieux,MU,-20.3428,57.7575,77.25,69,40,11.5
5905393,Bonavista,CA,48.6499,-53.1147,36.14,93,100,17.45
3369157,Cape Town,ZA,-33.9258,18.4232,56.55,74,0,5.99
3430443,Necochea,AR,-38.5473,-58.7368,66.22,48,100,17.47
3115824,Muros,ES,42.7762,-9.0603,48.83,93,100,7.38
6201424,Mataura,NZ,-46.1927,168.8643,52.48,85,94,11.48
4032243,Vaini,TO,-21.2,-175.2,78.96,78,75,5.75
5563839,Fortuna,US,40.5982,-124.1573,48.61,91,20,9.22
2477537,Tazmalt,DZ,36.3868,4.3989,55.17,75,100,2.42
964432,Port Alfred,ZA,-33.5906,26.891,54.18,79,99,3.0
2155415,New Norfolk,AU,-42.7826,147.0587,59.25,56,100,1.34
2643044,Margate,GB,51.3813,1.3862,47.19,81,2,8.01
5850554,Makakilo City,US,21.3469,-158.0858,77.04,59,20,18.41
5855927,Hilo,US,19.7297,-155.09,73.62,84,100,8.05
4035715,Avarua,CK,-21.2078,-159.775,80.65,78,20,2.3
161974,Bereket,TM,39.2446,55.5154,70.61,30,100,17.07
1015776,Bredasdorp,ZA,-34.5322,20.0403,57.27,67,92,3.87
1282256,Hithadhoo,MV,-0.6,73.0833,84.34,72,100,6.35
4030556,Rikitea,PF,-23.1203,-134.9692,72.99,83,100,15.88
1521315,Līsakovsk,KZ,52.5369,62.4936,50.52,31,77,6.64
5106841,Albany,US,42.6001,-73.9662,50.45,58,61,1.01
3664980,Boa Vista,BR,2.8197,-60.6733,78.78,78,20,2.3
5962442,Goderich,CA,43.7501,-81.7165,62.92,88,100,23.02
2074865,Carnarvon,AU,-24.8667,113.6333,82.47,47,44,12.66
6255012,Flinders,AU,-34.5833,150.8552,67.78,80,100,7.0
4726521,San Patricio,US,28.017,-97.5169,77.22,93,30,15.55
556268,Ostrovnoy,RU,68.0531,39.5131,34.2,98,99,6.89
3397967,Itaituba,BR,-4.2761,-55.9836,72.46,98,97,1.19
3466704,Castro,BR,-24.7911,-50.0119,57.67,98,3,4.9
3347019,Mossamedes,AO,-15.1961,12.1522,68.85,85,1,4.05
5367788,Lompoc,US,34.6391,-120.4579,52.66,91,0,5.75
2094342,Kavieng,PG,-2.5744,150.7967,84.76,68,100,7.43
2206939,Bluff,NZ,-46.6,168.3333,52.81,75,98,24.76
2022572,Khatanga,RU,71.9667,102.5,7.72,88,91,5.37
934479,Grand Gaube,MU,-20.0064,57.6608,78.39,68,54,10.0
2630299,Hofn,IS,64.2539,-15.2082,41.32,85,99,3.42
1735106,George Town,MY,5.4112,100.3354,89.53,70,20,6.91
6078372,Moose Factory,CA,51.2585,-80.6094,44.58,65,100,4.61
157429,Kilindoni,TZ,-7.9139,39.6668,81.23,77,99,5.93
